tweet_id,intent,escalate_label
6773,device_update_problem,0
61396,app_store_itunes,0
145207,icloud,1
154420,battery_power,0
168782,device_hardware,1
178669,battery_power,0
205928,software_app,0
209081,device_update_problem,0
236821,app_store_itunes,0
243335,order_delivery,1
245978,battery_power,0
247579,app_store_itunes,0
260859,account_access,1
285734,account_access,1
297993,software_app,0
303132,account_access,1
307443,battery_power,0
327325,device_update_problem,0
361741,device_hardware,1
372903,icloud,1
376025,device_update_problem,0
407506,connectivity,0
407530,account_access,1
433151,connectivity,0
446444,connectivity,0
451421,battery_power,0
483182,battery_power,1
486123,icloud,1
501503,device_hardware,1
514821,software_app,0
543696,device_update_problem,0
546531,app_store_itunes,0
548175,apple_pay,0
550770,apple_pay,0
552150,apple_pay,0
553597,apple_pay,0
554815,apple_pay,0
555257,software_app,0
564014,apple_pay,0
565036,apple_pay,0
566742,general_support,0
582771,account_access,1
590953,apple_pay,0
594621,apple_pay,0
595807,apple_pay,0
628050,software_app,0
629691,device_update_problem,0
644910,connectivity,0
647399,device_update_problem,0
661543,device_update_problem,0
687920,account_access,1
695356,software_app,0
699607,device_update_problem,0
701696,connectivity,0
709499,device_hardware,1
716600,icloud,1
754632,icloud,1
795813,order_delivery,1
823507,apple_pay,0
844299,billing_charge,1
847711,battery_power,0
864411,connectivity,0
879159,app_store_itunes,0
935862,battery_power,0
944204,general_support,0
986201,battery_power,0
998981,device_hardware,1
1003683,battery_power,0
1037676,device_update_problem,0
1046624,icloud,1
1063151,battery_power,0
1088775,connectivity,0
1120619,device_hardware,1
1134114,app_store_itunes,0
1147042,device_update_problem,0
1149995,software_app,0
1152809,app_store_itunes,0
1160688,software_app,0
1178943,general_support,0
1197183,apple_pay,0
1197191,order_delivery,1
1205265,software_app,0
1245453,icloud,1
1338049,order_delivery,1
1340554,order_delivery,1
1360132,apple_pay,0
1360133,apple_pay,0
1375350,order_delivery,1
1406630,software_app,0
1412685,app_store_itunes,0
1414585,general_support,0
1418610,order_delivery,1
1442418,account_access,1
1450139,account_access,1
1466134,device_update_problem,0
1505578,connectivity,0
1535742,general_support,0
1554830,battery_power,0
1576390,order_delivery,1
1590512,order_delivery,1
1617209,device_hardware,1
1623330,device_hardware,1
1636542,device_hardware,1
1637096,general_support,0
1640184,software_app,0
1645937,battery_power,0
1679278,general_support,0
1696062,battery_power,0
1697470,general_support,0
1700960,general_support,0
1763036,account_access,1
1766715,general_support,0
1769297,general_support,0
1795575,account_access,1
1795996,battery_power,0
1817772,connectivity,0
1834278,icloud,1
1837796,software_app,0
1854574,general_support,0
1858198,apple_pay,0
1863362,battery_power,0
1863725,device_update_problem,0
1877658,billing_charge,1
1881913,connectivity,0
1882047,battery_power,0
1925602,device_hardware,1
1946999,software_app,0
1971219,app_store_itunes,0
1991366,device_update_problem,0
1996274,battery_power,0
2013717,device_update_problem,0
2014059,battery_power,0
2020834,device_update_problem,0
2031245,connectivity,0
2033138,general_support,0
2047303,connectivity,0
2053409,battery_power,0
2073437,battery_power,0
2079488,connectivity,0
2109869,app_store_itunes,0
2123181,icloud,1
2134798,device_update_problem,0
2141008,software_app,0
2185421,app_store_itunes,0
2186227,battery_power,0
2193259,apple_pay,0
2193339,battery_power,0
2207491,device_update_problem,0
2210682,software_app,0
2213343,battery_power,0
2227075,account_access,1
2266750,device_hardware,1
2267338,device_update_problem,0
2271634,order_delivery,1
2278920,device_hardware,1
2281198,device_update_problem,1
2291652,device_hardware,1
2293525,software_app,0
2296138,account_access,1
2300372,app_store_itunes,0
2304043,app_store_itunes,0
2319816,account_access,1
2320106,app_store_itunes,0
2327786,icloud,1
2330954,battery_power,0
2345984,general_support,0
2358599,general_support,0
2371266,account_access,1
2402120,icloud,1
2410392,software_app,0
2427393,account_access,1
2436432,app_store_itunes,0
2456179,general_support,0
2494293,battery_power,0
2499258,account_access,1
2512311,app_store_itunes,0
2527013,software_app,0
2578689,battery_power,0
2580527,software_app,0
2585658,account_access,1
2605265,connectivity,0
2616535,battery_power,0
2633141,order_delivery,1
2641007,order_delivery,1
2675702,order_delivery,1
2675743,apple_pay,0
2693960,device_hardware,1
2693961,account_access,1
2751462,software_app,0
2752695,battery_power,0
2775975,icloud,1
2805200,general_support,0
2831817,icloud,1
2893334,app_store_itunes,0
2901986,order_delivery,1
2921510,device_update_problem,0
2922669,battery_power,0
2938206,account_access,1
2950942,order_delivery,1
2952392,battery_power,0
